,close,close,open,open,adjusted close,adjusted close,dividend amount,dividend amount,high,high,low,low,split coefficient,split coefficient,volume,volume
ticker,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ,GLD,QQQ
date,,,,,,,,,,,,,,,,
2017-11-17,122.86,153.95,122.15,154.58,122.86,151.7177,0.0,0.0,123.17,154.69,121.95,153.8,1.0,1.0,10613583.0,28725800.0
2017-11-20,121.31,153.83,122.3,154.08,121.31,151.5994,0.0,0.0,122.41,154.2,121.04,153.61,1.0,1.0,8356673.0,21143944.0
2017-11-21,121.51,155.5,121.67,154.56,121.51,153.2452,0.0,0.0,122.0,155.57,121.5,154.485,1.0,1.0,4956456.0,20147763.0
2017-11-22,122.63,155.69,122.26,155.63,122.63,153.4324,0.0,0.0,122.95,155.84,122.17,155.341,1.0,1.0,5211832.0,17299040.0
2017-11-24,122.32,156.26,122.36,155.86,122.32,153.9942,0.0,0.0,122.61,156.31,122.22,155.76,1.0,1.0,1779705.0,8280586.0
2017-11-27,122.83,156.19,123.26,156.2,122.83,153.9252,0.0,0.0,123.33,156.56,122.67,155.83,1.0,1.0,4961215.0,22653389.0
2017-11-28,122.81,156.59,123.05,156.52,122.81,154.3194,0.0,0.0,123.17,156.69,122.53,155.7,1.0,1.0,5603112.0,25227320.0
2017-11-29,122.04,153.86,122.24,156.45,122.04,151.629,0.0,0.0,122.33,156.45,121.74,153.12,1.0,1.0,6138941.0,71986338.0
2017-11-30,121.1,155.15,121.44,154.46,121.1,152.9003,0.0,0.0,121.695,155.45,120.64,154.145,1.0,1.0,7936260.0,56595465.0
2017-12-01,121.59,154.49,120.94,154.19,121.59,152.2498,0.0,0.0,122.43,155.24,120.74,152.26,1.0,1.0,13080101.0,59015828.0
2017-12-04,121.18,152.71,121.15,155.47,121.18,150.4956,0.0,0.0,121.2,155.625,120.84,152.56,1.0,1.0,6943679.0,51319146.0
2017-12-05,120.32,152.81,120.44,152.64,120.32,150.5942,0.0,0.0,120.505,154.55,119.72,152.1,1.0,1.0,10041159.0,40604211.0
2017-12-06,120.07,153.5,120.03,152.26,120.07,151.2742,0.0,0.0,120.44,153.735,119.87,152.06,1.0,1.0,6643006.0,28647769.0
2017-12-07,118.49,154.02,119.01,153.49,118.49,151.7866,0.0,0.0,119.24,154.46,118.1,153.33,1.0,1.0,12900240.0,32666207.0
2017-12-08,118.48,154.7,118.63,155.1,118.48,152.4568,0.0,0.0,118.92,155.53,118.33,154.46,1.0,1.0,5231287.0,28081666.0
2017-12-11,118.01,155.9,118.37,154.76,118.01,153.6394,0.0,0.0,118.54,155.95,117.8,154.76,1.0,1.0,4522244.0,20821528.0
2017-12-12,118.15,155.69,117.73,155.81,118.15,153.4324,0.0,0.0,118.17,156.15,117.4,155.36,1.0,1.0,8020109.0,20310252.0
2017-12-13,119.17,155.99,118.19,156.28,119.17,153.7281,0.0,0.0,119.35,156.49,118.01,155.76,1.0,1.0,10086657.0,24418479.0
2017-12-14,118.93,155.88,119.1,156.28,118.93,153.6197,0.0,0.0,119.285,156.66,118.705,155.71,1.0,1.0,6993592.0,24594682.0
2017-12-15,119.18,157.65,119.42,156.49,119.18,155.364,0.0,0.0,119.5,157.82,118.97,156.23,1.0,1.0,7531964.0,49816151.0
2017-12-18,119.73,158.64,119.64,158.29,119.73,156.6639,0.0,0.329,119.99,158.77,119.6,158.07,1.0,1.0,5452212.0,26844519.0
2017-12-19,119.82,157.7,119.64,158.34,119.82,155.7356,0.0,0.0,119.9,158.5,119.53,157.26,1.0,1.0,4018885.0,31414968.0
2017-12-20,120.14,157.53,119.96,158.25,120.14,155.5677,0.0,0.0,120.36,158.28,119.81,156.91,1.0,1.0,5734625.0,38972602.0
